value,gas,gasPrice,fee,anomaly
0.0,11000000,22.721091641,249932008.051,1
0.08,21000,555.0,11655000.0,1
0.0,11000000,22.721091641,249932008.051,1
0.08,21000,555.0,11655000.0,1
0.0,11000000,22.946848177,252415329.947,1
0.0,11000000,22.946848177,252415329.947,1
9.463752191e-09,494864,231.734716489,114677168.74061248,1
0.0,18500000,24.455243716,452422008.746,1
9.299483e-12,139011,582.425184872,80963507.3742416,1
0.0,18500000,22.408632391,414559699.2335,1
174.2178137086223,450569,19.508632391,8789984.987780478,1
1e-18,21000,1299.0,27279000.0,1
0.2,264401,220.519239464,58305507.43352107,1
0.0,18500000,22.614521439,418368646.6215,1
